"","name","phone"
"1","Law Office of Ronda S. Haynes",18177522177
"2","Law Offices of Debbie Reddick",18172381006
"3","The Murphree Law Office",18172700030
"4","Kenneth N Price Law Office",18174442561
"5","The Fort Worth Dating Company",18175296277
"6","MJB Group Private Investigation and Civil Process Service",19727987374
"7","The Duran Firm",12144846500
"18","Law Office Of Carey Thompson, PC",18178407503
"24","Lane Jim",18176255582
"26","Brian Walker Law Firm PLLC",18176252233
"28","Canas & Flores Attorneys Abogados",18173326060
"30","Gene deBullet & Associates",18173354767
"34","Cohoon Legal",16823239552
"35","Wade Sparks Attorney At Law",18173713250
"49","Stephenson & Beverly",NA
"58","Huebner Law Firm, PC",18175761889
"61","Law Office of J Daniel Gregory",18173380608
"73","Law Office of Dale Heisch",18178086353
"75","Cantu David B Attorney At Law",18172222100
"78","Webb Charles E Atty",18173360300
"88","Law Office of Bonnie Wolf",16822243438
"93","The Coffey Firm",18178313100
"111","Richard Weaver & Associates",18174225929
"116","Debusk David Attorney At Law",18178314111
"119","David S Kohm & Associates",18174583524
"121","Michael W Broome PC",18174209660
"136","Patrick Curran, Attorney At Law",18178313311
"140","Factor Abe Atty",18172223333
"144","Mallory Lollar Holt & Associates",18178314321
"151","AT&T Internet",18445356390
"176","Klapprodt Pools & Spas",18174311847
"212","Kaye Lynne Boll & Associates",18173545454
"224","Matthew Pillado",18006723911
"230","Girling Law",18174052151
"239","Law Offices Of Monty J Buhrow",18175909400
"254","Beal Law Firm",18172614333
"261","The Law Office of Drake Dunnavent",18172848400
"264","The Lee Law Firm",18176161150
"281","Noteboom Law Firm",18172829700
"287","The Law Office of Elaine K Ryan",18172820404
"293","Ebert Law Offices, PC",18172682468
"294","Barbara D Nunneley",18174856431
"299","Law Office of Tom McKenzie, PC",18172823868
"310","Tim Rusk Law Offices",18172682525
"327","Michael Smith",18177885898
"331","Smith & Devoss Attorneys & Counselors",18172825700
"332","Diane M Wanger",18172852855
"345","Gray Gregory E Atty",18175902223
"346","The Mesquite Group",18777694069
"360","Hargrave Law, PC",18172820679
"380","Law Office of Christina Fox",18174790535
"390","Chrissy Tefera",18175030776
"400","Emerald Residential Property Mgmt",18174988210
"409","The Smotherman Law Firm",12142873904
"440","The Hart Law Firm",18173804888
"441","Bailey & Galyen Attorneys at Law",18178863329
"442","The Law Office of Mary Holland & Janine Wilson",18175458576
"468","The Meza Law Firm",18177326392
"489","Bryan E. Wilson, The Texas Law Hawk",18174403953
"490","Davidson Law Group",18179006529
"492","Turner Monahan",18173324477
"494","Bob Leonard Law Group",18173368500
"495","Herrmann Law",18174799229
"497","Hardy Law Group",18178879158
"498","Varghese Summersett",18172032220
"499","Cordell & Cordell",19724903237
"500","Wert Law Firm",18174020430
"501","Hoover D Robert",18173353399
"502","Jones Roger S PC",18173327393
"503","Hawkins & Walker, PC",18178773355
"504","Andrew Deegan Attorney At Law",18176897002
"505","Favila Terry Law",18173308177
"506","Bush Robert W Atty",18173351363
"509","Carole Kerr Attorney at Law",18173323700
"510","Law Offices Of Paula R Moore",18173322300
"511","Summit Merchant Solutions",18173172995
"520","Beasley Law Firm",18173381877
"522","Justin Sparks Law Firm",18173340300
"523","Linebarger Goggan Blair Pena & Sampson Llp",18178775401
"526","Hampton Carter L Atty At Law",18178774202
"528","Stasio & Stasio Law",18173325113
"530","Sisemore Law Firm",18174065048
"534","The Law Office of V. Wayne Ward",18173321172
"535","The Law Office of J. Daniel Gregory, PC",18173380608
"536","Law Offices of Jeff C. Kennedy",18176051010
"538","Dunham & Jones Attorneys at Law",18178888888
"546","Schneider Law Firm, PC",18178509955
"547","Youngblood Law",18176015345
"548","Fred Cummings",18173353500
"549","Barnett Howard & Williams",18179939249
"550","Stasio Andrew Atty",18173325113
"556","Law Office of Carey Thompson",18178407503
"848","Kane | Varghese law firm",18172104247
"856","Law Office of Jim Graham",18175864349
"953","Glynis Adams McGinty",18174466112
"1203","Lombrano - Williamson & Associates",18174292667
"1212","Thomas Legal",18172642526
"1213","Kinney Recruiting",12145265050
"1222","Law Office of Mark M. Childress",18174759362
"1224","Kevin Schmid & Associates",18173773000
"1242","Wynne Law Firm",18173322202
"1254","David W Wynne",18173322202
"1262","Hoeller McLaughlin PLLC",18173347900
"1264","Anderson Law Firm",18172941900
"1267","Ken Kraatz Atty",18173355525
"1268","Law Offices of Jason Smith",18173340880
"1281","Turner Law Firm Todd Turner Attorney",18178782700
"1282","The Eric Reyes Law Firm",18173321522
"1289","Brender Law Firm",18173340171
"1291","Jarzombek Jerry",18173488325
"1292","Haslam & Gallagher",18173323115
"1294","Law Office of Jim Zadeh PC",18173355100
"1297","Bobbitt Law",18174574600
"1298","Law Office Of Barry J. Alford",18173355229
"1317","Heise Law Firm",18178771555
"1329","Joshua Graham & Associates",18177894000
"1462","The Law Office of Lesa Pamplin",18174761096
